Variables ->,dyobs,lur,dp,ptr,rff,tr
1988Q4,4.401880407769565,5.333333333333333,4.44418794536403,4.6667,8.47,
1989Q1,2.9252790697934765,5.2,4.341842394944903,4.69,9.443333333333333,
1989Q2,2.1690105721404076,5.233333333333333,3.6225124394088835,4.74,9.726666666666667,
1989Q3,2.041387621753831,5.233333333333333,2.9656736082418433,4.53,9.083333333333334,
1989Q4,-0.10216828943106612,5.366666666666667,3.6452533962400793,4.305,8.613333333333333,
1990Q1,1.1481140450402845,5.3,4.57985413320844,,8.25,
1990Q2,0.6084905840982878,5.333333333333333,4.443759314272285,4.27,8.243333333333332,
1990Q3,-0.6565624035073966,5.7,4.021930386061202,4.39,8.16,
1990Q4,-4.741927576902464,6.133333333333333,3.344574200966388,4.3,7.743333333333332,
1991Q1,-2.72917953378168,6.6000000000000005,3.534830618567993,4.315,6.426666666666667,
1991Q2,2.3002074601665976,6.833333333333333,3.071572823185329,4.34,5.863333333333333,
1991Q3,1.0405558720865091,6.866666666666667,3.5854223537917935,,5.6433333333333335,
1991Q4,0.28543895086434884,7.1000000000000005,3.1347841205434395,4.0,4.816666666666666,
1992Q1,3.876601394523428,7.366666666666667,3.0498152476295286,3.7,4.023333333333333,
1992Q2,3.4152274995601952,7.6000000000000005,2.8130785086869463,3.9,3.7699999999999996,
1992Q3,2.858851102670858,7.633333333333333,2.3625618204205137,3.75,3.2566666666666664,
1992Q4,2.926287877906617,7.366666666666667,2.9204035567992377,3.6,3.0366666666666666,
1993Q1,-0.34450476112459616,7.133333333333333,2.7487730323958006,3.5,3.0399999999999996,
1993Q2,1.3970470508729915,7.066666666666666,3.02479972368741,3.7,3.0,
1993Q3,0.8514389979181475,6.8,2.2300999718892967,3.45,3.06,
1993Q4,4.271569977417678,6.633333333333333,2.052030876427542,3.45,2.99,
1994Q1,2.914410880503944,6.566666666666666,1.8110351478738456,3.45,3.2133333333333334,
1994Q2,4.494550351125536,6.2,2.682512864398685,3.5,3.94,
1994Q3,1.2582822353074796,6.0,2.2270029244917873,3.5,4.486666666666667,
1994Q4,3.439970552224557,5.633333333333333,2.0271653585056884,3.5,5.166666666666667,
1995Q1,0.8475168575931141,5.466666666666666,2.0908024736975572,3.3,5.81,
1995Q2,0.35619921373872176,5.666666666666667,2.3679027430318946,3.35,6.02,
1995Q3,2.3583801061361864,5.666666666666667,1.902356229256723,3.2,5.796666666666667,
1995Q4,1.6127749278874999,5.566666666666666,2.000507652249963,3.0,5.72,
1996Q1,2.13451285962205,5.533333333333334,1.5696029305925272,3.0,5.363333333333333,
1996Q2,5.610218762091388,5.5,1.8974321429318743,3.0,5.243333333333333,
1996Q3,2.4346802100488736,5.266666666666667,1.8205074714018241,3.0,5.306666666666667,
1996Q4,2.923697007371196,5.333333333333333,2.270615264327008,3.0,5.28,
1997Q1,0.7147110500693004,5.233333333333333,1.5683318643308783,3.0,5.276666666666666,
1997Q2,5.738037765607776,5.0,2.0815893879534304,2.85,5.523333333333333,
1997Q3,3.9169123411134197,4.866666666666667,0.932821509719803,3.0,5.533333333333334,
1997Q4,2.2839977647811787,4.666666666666667,1.263824116147407,2.65,5.506666666666667,
1998Q1,3.094417529057021,4.633333333333333,1.1768382139329032,2.6,5.52,
1998Q2,2.6888942312920534,4.3999999999999995,1.2230453941256836,2.5,5.5,
1998Q3,3.878235565369703,4.533333333333333,1.4172889011300416,2.5,5.533333333333334,
1998Q4,5.190151712503784,4.433333333333334,1.2734727038455997,2.5,4.86,
1999Q1,2.23242865529522,4.3,1.001653981429493,2.3,4.733333333333333,
1999Q2,2.252157456493991,4.266666666666667,1.3861300951613456,2.5,4.746666666666667,
1999Q3,4.090271154128338,4.233333333333333,1.470006797665117,2.5,5.093333333333334,
1999Q4,5.325519481075424,4.066666666666666,1.8772174071938725,2.5,5.306666666666667,
2000Q1,-4.12097427307601,4.033333333333333,2.0906440296743054,2.5,5.676666666666667,
2000Q2,5.981364995970803,3.9333333333333336,1.3930722664508706,2.5,6.273333333333333,
2000Q3,-0.8657225475518149,4.0,1.92513121565334,2.5,6.52,
2000Q4,1.1773989858330292,3.9,1.9760215457679844,2.5,6.473333333333334,
2001Q1,-2.3247417104472414,4.233333333333333,2.592085264783903,2.5,5.593333333333334,
2001Q2,1.3062647414176245,4.3999999999999995,1.5094324456828208,2.5,4.326666666666667,
2001Q3,-2.881588959249823,4.833333333333333,1.0310590222881781,2.5,3.4966666666666666,
2001Q4,-0.18156615514792768,5.5,1.9256671894167035,2.55,2.1333333333333333,
2002Q1,2.310515408992628,5.7,1.2261250335935354,2.5,1.7333333333333334,
2002Q2,1.4482674829200242,5.833333333333333,2.1948426317724494,2.5,1.75,
2002Q3,0.40179946265745636,5.733333333333333,2.128052870338283,2.5,1.74,
2002Q4,-0.7438637752219542,5.866666666666667,1.4192658654463128,2.45,1.4433333333333334,
2003Q1,-0.7556001289922558,5.866666666666667,1.2322096829790545,2.5,1.25,
2003Q2,2.32082768296329,6.133333333333333,1.5133294061206441,2.5,1.2466666666666668,
2003Q3,5.261993091210026,6.133333333333333,1.8266957194657893,2.5,1.0166666666666666,
2003Q4,3.2407149844783643,5.833333333333333,1.788152697565363,2.5,0.9966666666666667,
2004Q1,2.11566898108924,5.7,2.1947699042638353,2.5,1.0033333333333332,
2004Q2,1.97886726027287,5.599999999999999,2.2791609796908965,2.5,1.01,
2004Q3,2.5107814738151895,5.433333333333334,1.429496886334946,2.5,1.4333333333333333,
2004Q4,2.74258641250303,5.433333333333334,2.16270286230572,2.5,1.95,
2005Q1,3.3094632125483185,5.3,2.836652790189005,2.45,2.47,
2005Q2,0.8367788473604915,5.1000000000000005,1.9765206556778627,2.5,2.9433333333333334,
2005Q3,1.7988299181614407,4.966666666666667,1.555417704855248,2.5,3.4599999999999995,
2005Q4,0.8514792972006188,4.966666666666667,2.664856890147153,2.5,3.98,
2006Q1,4.347471139303748,4.733333333333333,2.3096726271410133,2.5,4.456666666666667,
2006Q2,-0.13950563318413353,4.633333333333333,3.1738291117645216,2.5,4.906666666666667,
2006Q3,-0.6832635185997705,4.633333333333334,2.148835840515519,2.5,5.246666666666667,
2006Q4,2.151531657128555,4.433333333333334,1.7192872763966607,2.5,5.246666666666667,
2007Q1,-0.4364273878119525,4.5,2.74869935180137,2.35,5.256666666666667,
2007Q2,1.32752321057249,4.5,1.6613507142511124,2.4,5.25,
2007Q3,1.0414852697267067,4.666666666666667,1.9594839504094395,2.4,5.073333333333333,
2007Q4,1.255300174103171,4.8,2.7561479170153893,2.4,4.496666666666667,
2008Q1,-1.48741127442243,5.0,2.1124407643469527,2.5,3.1766666666666663,
2008Q2,1.3393657707128659,5.333333333333333,1.6767802651995278,2.5,2.0866666666666664,
2008Q3,-3.3049496680017247,6.0,2.036532051190052,2.5,1.9400000000000002,
2008Q4,-10.072581766699882,6.866666666666667,-0.3152040654704663,2.5,0.5066666666666667,
2009Q1,-4.714755738327184,8.266666666666667,-0.004548030039814107,2.4,0.18333333333333335,
2009Q2,-1.6450038639735056,9.299999999999999,1.5629895948607773,2.5,0.18000000000000002,
2009Q3,0.32727706321721883,9.633333333333333,1.4169872215186892,2.5,0.15666666666666665,
2009Q4,3.2074648414283895,9.933333333333334,2.484163244015645,2.2627,0.12,
2010Q1,1.4987635384673148,9.833333333333334,1.3660017269032485,2.39,0.13333333333333333,
2010Q2,2.9924533428832683,9.633333333333333,1.076075654229124,2.4,0.19333333333333336,
2010Q3,2.0672023808943623,9.466666666666667,0.6148751967291931,2.3,0.18666666666666668,
2010Q4,1.0754020362839256,9.5,1.2624289991201936,2.2,0.18666666666666668,
2011Q1,-1.185029123121784,9.033333333333333,1.7521907302608626,2.3,0.15666666666666668,
2011Q2,1.9203603205307636,9.066666666666666,2.332188290756367,2.4,0.09333333333333334,
2011Q3,-1.0158306935128834,9.0,1.821900618677633,2.4,0.08333333333333333,
2011Q4,3.5338572623132016,8.633333333333333,1.4231006705793543,2.5,0.07333333333333335,
2012Q1,0.019086516859298998,8.266666666666667,2.5165602770655378,2.3,0.10333333333333333,
2012Q2,0.9040219750674906,8.2,1.6507461498297824,2.48,0.15333333333333335,
2012Q3,-0.40375142022677823,8.033333333333333,1.154062264366486,2.35,0.14333333333333334,
2012Q4,-0.5300517648818549,7.8,1.7648328335620418,2.3,0.16,
2013Q1,2.8476886312902128,7.733333333333333,1.559545008095342,2.3,0.14333333333333334,
2013Q2,0.19653170012731094,7.533333333333334,1.1270571978373838,2.3,0.11666666666666665,
2013Q3,2.4180059869228008,7.233333333333333,1.5703049012880772,2.205,0.08333333333333333,
2013Q4,2.4918721728005138,6.933333333333334,1.7202449082452838,2.3,0.08666666666666667,
2014Q1,-2.2281742921365146,6.666666666666667,1.2618727644105427,2.3,0.07333333333333335,
2014Q2,4.262655750448582,6.2,1.7423798552175611,2.25,0.09333333333333334,
2014Q3,3.851869977935058,6.066666666666666,1.4999625873921758,2.2,0.09000000000000001,
2014Q4,1.0360913739889648,5.7,1.08282266197923,2.2,0.09999999999999999,
2015Q1,1.8887513143740302,5.533333333333334,0.6676664742286755,2.1,0.11,
2015Q2,1.573560597561986,5.433333333333334,1.7786890783949183,2.135,0.12333333333333334,
2015Q3,0.580691638768595,5.1000000000000005,1.2848963631857895,2.15,0.1366666666666667,
2015Q4,-0.2846919654487794,5.033333333333333,0.9959091954026474,2.15,0.16,
2016Q1,0.9799608781576624,4.8999999999999995,1.6720951998167704,2.12,0.36000000000000004,
2016Q2,0.3344268385218675,4.933333333333334,2.1878870669184804,2.2,0.37333333333333335,
2016Q3,1.7625278116388237,4.8999999999999995,1.7317363171024953,2.15,0.39666666666666667,
2016Q4,1.1420764890489061,4.766666666666667,1.3757026939754642,2.2161,0.45,
